COHORTE;ESTRATO;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S37;S38
2008-2;Estrato 1;17.91%;23.88%;32.84%;37.31%;41.79%;43.28%;46.27%;47.76%;52.24%;53.73%;53.73%;53.73%;53.73%;53.73%;55.22%;;;;;;;;;;;;;;;;;;;;;;;
2008-2;Estrato 2;14.33%;21.21%;25.62%;30.3%;31.68%;33.33%;36.09%;39.67%;41.05%;42.15%;42.98%;42.98%;45.45%;46.28%;47.11%;;;;;;;;;;;;;;;;;;;;;;;
2008-2;Estrato 3;17.48%;25.87%;30.77%;37.06%;39.86%;41.26%;41.26%;44.06%;44.76%;45.45%;46.85%;47.55%;48.95%;49.65%;49.65%;;;;;;;;;;;;;;;;;;;;;;;
2008-2;Estrato 4;13.89%;27.78%;30.56%;36.11%;38.89%;38.89%;41.67%;41.67%;41.67%;41.67%;44.44%;44.44%;44.44%;44.44%;44.44%;;;;;;;;;;;;;;;;;;;;;;;
2008-2;Estrato 5;30.0%;30.0%;40.0%;50.0%;70.0%;70.0%;70.0%;70.0%;70.0%;70.0%;70.0%;70.0%;70.0%;70.0%;70.0%;;;;;;;;;;;;;;;;;;;;;;;
2008-2;Estrato 6;0.0%;0.0%;0.0%;0.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;;;;;;;;;;;;;;;;;;;;;;;
2009-1;Sin información;13.49%;18.25%;20.79%;23.17%;24.76%;29.21%;30.95%;32.54%;33.65%;34.92%;35.71%;37.62%;38.89%;40.16%;;;;;;;;;;;;;;;;;;;;;;;;
2009-1;Estrato 1;14.0%;18.5%;23.5%;27.0%;29.5%;32.0%;33.0%;33.0%;33.5%;34.0%;35.5%;36.0%;36.5%;38.0%;;;;;;;;;;;;;;;;;;;;;;;;
2009-1;Estrato 2;14.95%;21.15%;24.47%;27.04%;28.7%;32.18%;34.59%;36.1%;38.07%;38.97%;39.27%;40.63%;41.39%;42.45%;;;;;;;;;;;;;;;;;;;;;;;;
2009-1;Estrato 3;12.13%;15.69%;19.87%;21.76%;23.01%;24.69%;26.15%;28.24%;29.29%;30.54%;30.96%;32.85%;33.26%;33.89%;;;;;;;;;;;;;;;;;;;;;;;;
2009-1;Estrato 4;11.62%;15.35%;17.43%;19.09%;19.92%;21.58%;25.73%;27.39%;28.22%;28.63%;29.88%;32.37%;32.78%;33.2%;;;;;;;;;;;;;;;;;;;;;;;;
2009-1;Estrato 5;12.5%;12.5%;16.67%;29.17%;29.17%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;33.33%;;;;;;;;;;;;;;;;;;;;;;;;
2009-1;Estrato 6;16.67%;38.89%;44.44%;44.44%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;50.0%;;;;;;;;;;;;;;;;;;;;;;;;
2009-2;Sin información;14.6%;20.8%;23.72%;27.01%;28.1%;32.12%;34.31%;35.4%;36.13%;37.23%;39.05%;40.88%;42.7%;;;;;;;;;;;;;;;;;;;;;;;;;
2009-2;Estrato 1;13.33%;20.0%;27.27%;29.7%;31.52%;35.15%;36.36%;36.97%;36.97%;37.58%;40.0%;41.21%;43.64%;;;;;;;;;;;;;;;;;;;;;;;;;
2009-2;Estrato 2;12.85%;17.56%;20.98%;23.9%;26.83%;29.76%;31.54%;33.66%;34.96%;35.61%;36.91%;37.56%;38.21%;;;;;;;;;;;;;;;;;;;;;;;;;
2009-2;Estrato 3;12.7%;17.77%;20.9%;24.22%;26.76%;29.69%;31.84%;33.59%;33.98%;34.57%;36.52%;36.72%;36.91%;;;;;;;;;;;;;;;;;;;;;;;;;
2009-2;Estrato 4;11.04%;19.48%;21.43%;22.73%;26.62%;29.87%;34.42%;35.06%;35.71%;37.66%;38.31%;39.61%;39.61%;;;;;;;;;;;;;;;;;;;;;;;;;
2009-2;Estrato 5;0.0%;0.0%;0.0%;4.55%;9.09%;13.64%;22.73%;22.73%;22.73%;22.73%;22.73%;22.73%;22.73%;;;;;;;;;;;;;;;;;;;;;;;;;
2009-2;Estrato 6;0.0%;12.5%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;25.0%;;;;;;;;;;;;;;;;;;;;;;;;;
2010-1;Sin información;13.95%;18.4%;21.36%;24.93%;27.3%;29.67%;32.64%;33.23%;34.72%;35.31%;35.91%;37.69%;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-1;Estrato 1;12.99%;19.69%;22.83%;24.8%;27.56%;29.53%;31.5%;33.46%;34.25%;35.43%;35.83%;37.8%;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-1;Estrato 2;14.52%;19.06%;22.58%;25.66%;28.3%;30.35%;31.23%;32.4%;33.43%;35.34%;35.92%;36.51%;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-1;Estrato 3;10.58%;15.7%;18.84%;22.15%;25.62%;28.43%;29.26%;30.91%;31.74%;33.55%;33.88%;35.7%;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-1;Estrato 4;8.79%;12.09%;16.12%;19.78%;21.98%;23.08%;24.91%;25.64%;26.37%;28.94%;28.94%;30.4%;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-1;Estrato 5;8.0%;20.0%;24.0%;28.0%;28.0%;36.0%;36.0%;36.0%;36.0%;40.0%;44.0%;44.0%;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-1;Estrato 6;18.18%;22.73%;27.27%;27.27%;27.27%;31.82%;31.82%;31.82%;31.82%;31.82%;31.82%;31.82%;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-2;Sin información;15.13%;20.17%;25.63%;28.57%;31.09%;34.45%;35.71%;37.39%;38.66%;39.5%;41.18%;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-2;Estrato 1;11.36%;18.18%;26.52%;29.92%;32.58%;34.09%;35.23%;38.64%;39.39%;40.53%;42.05%;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-2;Estrato 2;11.22%;16.83%;22.85%;25.72%;28.32%;30.64%;31.87%;33.65%;34.61%;35.7%;36.94%;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-2;Estrato 3;11.47%;17.11%;21.99%;25.19%;27.44%;29.89%;32.52%;33.46%;35.53%;36.65%;38.53%;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-2;Estrato 4;13.39%;20.5%;23.01%;28.03%;32.22%;33.47%;35.15%;36.4%;38.91%;40.17%;41.84%;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-2;Estrato 5;14.29%;21.43%;28.57%;28.57%;35.71%;35.71%;35.71%;35.71%;35.71%;35.71%;42.86%;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-2;Estrato 6;23.08%;30.77%;30.77%;30.77%;30.77%;30.77%;30.77%;30.77%;38.46%;38.46%;46.15%;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-1;Sin información;19.75%;25.93%;30.04%;32.92%;34.57%;36.21%;37.86%;40.33%;41.15%;43.21%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-1;Estrato 1;23.18%;32.53%;37.02%;40.83%;42.56%;44.29%;44.64%;46.71%;48.44%;49.48%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-1;Estrato 2;19.16%;26.08%;32.76%;35.72%;37.45%;38.57%;39.31%;40.54%;41.53%;43.76%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-1;Estrato 3;18.24%;22.8%;27.2%;28.42%;30.7%;32.37%;33.59%;35.56%;37.39%;39.51%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-1;Estrato 4;15.74%;19.02%;21.97%;24.92%;27.21%;27.21%;28.85%;29.51%;32.13%;34.43%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-1;Estrato 5;18.18%;18.18%;22.73%;22.73%;22.73%;25.0%;25.0%;27.27%;27.27%;27.27%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-1;Estrato 6;17.39%;21.74%;21.74%;21.74%;26.09%;26.09%;26.09%;30.43%;34.78%;34.78%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-2;Sin información;13.92%;16.49%;20.1%;23.2%;25.77%;26.8%;29.9%;31.96%;34.54%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-2;Estrato 1;19.09%;22.41%;28.63%;31.54%;33.61%;34.85%;37.76%;39.83%;41.49%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-2;Estrato 2;15.28%;21.14%;26.67%;30.57%;32.68%;34.31%;35.77%;37.07%;38.37%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-2;Estrato 3;14.44%;19.18%;23.49%;25.43%;27.59%;28.66%;30.17%;31.9%;34.48%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-2;Estrato 4;10.0%;13.68%;17.37%;21.58%;23.16%;23.68%;27.37%;29.47%;30.0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-2;Estrato 5;8.0%;8.0%;8.0%;8.0%;8.0%;8.0%;8.0%;8.0%;8.0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-2;Estrato 6;27.27%;36.36%;36.36%;54.55%;63.64%;63.64%;63.64%;63.64%;63.64%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-1;Sin información;12.97%;19.46%;23.24%;25.41%;27.57%;31.35%;34.05%;35.14%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-1;Estrato 1;18.65%;23.55%;29.36%;33.33%;34.86%;38.23%;38.84%;39.76%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-1;Estrato 2;13.89%;18.2%;23.35%;26.59%;28.5%;31.98%;33.53%;35.09%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-1;Estrato 3;12.8%;16.16%;19.97%;22.56%;23.93%;26.83%;28.81%;30.79%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-1;Estrato 4;11.3%;16.78%;20.21%;23.97%;25.0%;27.4%;29.11%;31.51%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-1;Estrato 5;8.51%;10.64%;21.28%;23.4%;23.4%;27.66%;27.66%;27.66%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-1;Estrato 6;14.29%;14.29%;14.29%;14.29%;14.29%;14.29%;14.29%;14.29%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-2;Sin información;16.22%;19.59%;20.95%;27.03%;30.41%;32.43%;33.11%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-2;Estrato 1;18.34%;24.22%;28.72%;33.56%;35.99%;36.33%;38.06%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-2;Estrato 2;15.51%;20.19%;25.2%;26.98%;29.56%;31.83%;33.44%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-2;Estrato 3;15.86%;22.69%;26.87%;29.07%;32.16%;34.58%;37.22%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-2;Estrato 4;11.5%;15.0%;18.5%;20.5%;22.5%;25.0%;28.5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-2;Estrato 5;9.09%;22.73%;22.73%;27.27%;27.27%;27.27%;31.82%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-2;Estrato 6;0.0%;20.0%;20.0%;20.0%;20.0%;20.0%;20.0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-1;Sin información;17.05%;21.02%;22.73%;27.27%;28.41%;29.55%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-1;Estrato 1;18.51%;24.68%;27.76%;33.42%;36.76%;38.56%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-1;Estrato 2;18.22%;23.33%;27.26%;33.03%;35.12%;37.09%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-1;Estrato 3;14.01%;17.83%;23.25%;26.27%;29.3%;32.48%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-1;Estrato 4;9.86%;13.38%;15.85%;20.07%;22.18%;23.94%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-1;Estrato 5;25.0%;29.55%;29.55%;31.82%;34.09%;36.36%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-1;Estrato 6;12.5%;18.75%;25.0%;25.0%;31.25%;31.25%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-2;Sin información;8.0%;10.4%;14.4%;21.6%;24.8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-2;Estrato 1;14.55%;20.52%;29.1%;33.21%;36.19%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-2;Estrato 2;14.24%;17.72%;24.37%;28.16%;29.75%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-2;Estrato 3;13.98%;16.77%;22.15%;25.81%;30.11%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-2;Estrato 4;12.5%;17.13%;23.15%;25.46%;28.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-2;Estrato 5;11.11%;11.11%;22.22%;25.93%;25.93%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-2;Estrato 6;0.0%;14.29%;14.29%;14.29%;28.57%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-1;Sin información;16.94%;25.81%;29.84%;33.87%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-1;Estrato 1;10.53%;25.48%;29.64%;34.35%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-1;Estrato 2;8.23%;19.26%;24.3%;28.42%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-1;Estrato 3;4.87%;19.13%;23.99%;27.18%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-1;Estrato 4;1.32%;16.17%;21.12%;23.43%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-1;Estrato 5;2.78%;19.44%;25.0%;30.56%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-1;Estrato 6;0.0%;15.79%;31.58%;42.11%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-2;Sin información;19.0%;26.0%;31.0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-2;Estrato 1;20.49%;24.53%;33.15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-2;Estrato 2;19.42%;24.43%;29.45%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-2;Estrato 3;15.64%;21.6%;26.54%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-2;Estrato 4;12.94%;16.92%;21.89%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-2;Estrato 5;9.52%;28.57%;28.57%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-2;Estrato 6;28.57%;42.86%;57.14%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-1;Sin información;24.68%;33.77%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-1;Estrato 1;19.39%;26.71%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-1;Estrato 2;17.93%;22.76%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-1;Estrato 3;14.01%;18.63%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-1;Estrato 4;15.72%;23.41%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-1;Estrato 5;24.44%;26.67%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-1;Estrato 6;34.62%;38.46%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-2;Sin información;28.07%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-2;Estrato 1;18.92%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-2;Estrato 2;21.96%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-2;Estrato 3;17.89%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-2;Estrato 4;14.45%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-2;Estrato 5;15.38%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-2;Estrato 6;0.0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-1;Sin información;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-1;Estrato 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-1;Estrato 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-1;Estrato 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-1;Estrato 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-1;Estrato 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-1;Estrato 6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-2;Sin información;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-2;Estrato 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-2;Estrato 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-2;Estrato 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-2;Estrato 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-2;Estrato 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-2;Estrato 6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
